ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM2760	8	12	3706	3684	NA	0.023222554	0.492	NA	0.463	0.0489
ASM2761	4	29	20603	17175	0.806715014	0	5.10E-06	NA	0.0102	0.0227
ASM2762	3	5	6647	1032	0.671264006	0.007936508	NA	NA	NA	NA
ASM2763	8	16	4984	864	0.999184506	0	0.374	NA	NA	0.0592
ASM2764	3	4	2688	3330	0.885115137	0.014400092	0.182	NA	0.0913	0.0158
ASM2765	5	16	5864	5820	0.585997552	0.025908247	0.0257	NA	NA	0.0448
ASM2766	7	35	33811	28870	0.136033867	0.046410033	3.62E-13	NA	0.00206	0.0152
ASM2767	9	11	2835	2942	0.060350512	0.021260863	0.519	NA	0.493	0.0614
ASM2768	4	43	14857	13148	0.99263629	0	0.0344	NA	0.0133	0.0453
ASM2769	7	13	4902	4431	0.806470639	0	0.47	NA	0.613	0.0498
ASM2770	4	30	3283	7368	0.081524775	0	0.024	NA	NA	NA
ASM2771	2	3	1546	1537	0.127920939	0.024484256	NA	NA	NA	0.0723
ASM2772	5	45	9657	4026	0.975787934	0.104497354	0.353	NA	NA	0.152
ASM2773	9	12	3263	1470	0.004156272	0.056313131	1	NA	0.667	0.0357
ASM2774	3	6	4656	1822	0.421666377	0.032980083	NA	NA	0.626	0.0645
ASM2775	4	16	3893	1435	0.039518867	0	0.429	NA	NA	0.0534
ASM2776	7	39	19994	15321	0.007273092	0.028429006	NA	NA	NA	0.259
ASM2777	4	6	477	525	0.020205718	0.111111111	NA	NA	NA	NA
ASM2778	4	17	9107	11965	0.658450548	0	0.000439	NA	0.109	0.0346
ASM2779	2	3	860	520	0.813127482	0.047147743	0.617	NA	NA	NA
ASM2780	2	4	1025	617	0.166589461	0.023427495	0.672	NA	NA	NA
ASM2781	10	27	24305	15255	0.865304083	0.166666667	0.0745	NA	0.0939	0.0208
ASM2782	5	44	21273	21066	0.985442044	0.212643678	0.218	NA	0.556	0.0383
ASM2783	8	27	62	520	0.201089891	0	NA	NA	NA	NA
ASM2784	5	20	13016	10266	0.995226799	0.268253968	1	NA	0.644	0.0825
ASM2785	2	4	28422	28520	0.870803186	0.010518742	0.145	NA	0.158	0.0135
ASM2786	4	7	1297	830	0.202746154	0.077143765	0.00196	NA	NA	0.0889
ASM2787	3	4	487	656	0.024376238	0.102592828	0.00328	NA	NA	NA
ASM2788	2	3	474	531	0.249322545	0.0372622	0.0232	NA	NA	0.179
ASM2789	4	18	12011	21491	0.000832199	0.119286558	0.108	0.00000392	0.791	0.0491
ASM2790	3	20	6514	5416	0.189480778	0.079324218	NA	NA	NA	NA
ASM2791	2	3	779	474	0.590250707	0.012457562	0.89	NA	NA	NA
ASM2792	6	13	3035	4133	NA	0.237373737	0.104	NA	NA	NA
ASM2793	7	15	6501	5800	0.463050875	0.192566693	NA	NA	NA	0.161
ASM2794	5	13	748	632	0.714360242	0.075131976	0.692	NA	NA	NA
ASM2795	5	34	18020	15140	0.846697736	0	0.0134	NA	0.264	0.0176
ASM2796	3	26	39005	33617	1	0.054800368	0.00572	NA	0.0436	0.02
ASM2797	3	5	4785	5681	0.995585009	0.009139887	0.296	NA	0.201	0.0275
ASM2798	3	28	13189	5384	NA	0.060836753	1	NA	0.00705	0.0391
ASM2799	2	3	323	0	NA	0.912495365	NA	NA	NA	NA
ASM2800	5	12	6255	3961	0.000762357	0.008481027	0.0134	NA	NA	0.0501
ASM2801	6	17	33363	22196	NA	0.004907229	NA	NA	NA	0.173
ASM2802	3	7	166	0	NA	0.683333333	NA	NA	NA	NA
ASM2803	2	4	13	0	NA	1	NA	NA	NA	NA
ASM2804	3	5	128	5	0.041463434	0.58008658	NA	NA	NA	1
ASM2805	3	5	8762	7972	0.592688381	0.337962963	1	NA	NA	NA
ASM2806	2	3	1526	1398	0.871403022	0.012153369	0.49	NA	0.72	0.0822
ASM2807	4	27	3025	1999	0.607523685	0.333333333	NA	NA	NA	0.244
ASM2808	2	4	969	2928	0.551307041	0.011458333	NA	NA	NA	NA
ASM2809	2	3	268	12	0.008903189	0.517857143	NA	NA	NA	NA
ASM2810	4	11	140	97	0.584698265	0	1	NA	NA	NA
ASM2811	3	14	27670	22200	0.000109803	0.162157308	1.11E-16	NA	1.71E-05	0.0304
ASM2812	2	3	3087	4207	0.365580897	0.010123247	0.0231	NA	0.474	0.0385
ASM2813	2	5	1922	15690	0.063603681	0.022140476	NA	NA	NA	0.0389
ASM2814	3	4	2348	0	NA	0.504934211	NA	NA	NA	NA
ASM2815	4	49	33726	51608	0.179646346	0.009141799	0.134	NA	0.0253	0.0308
ASM2816	2	5	183	168	0.204324776	0.094444444	NA	NA	NA	NA
ASM2817	3	5	502	334	0.666918071	0.053742554	0.634	NA	NA	NA
ASM2818	10	23	13966	13521	0.231501567	0.031189084	0.579	NA	0.883	0.0277
ASM2819	2	7	28	30	0.166600183	0.611111111	NA	NA	NA	NA
ASM2820	2	3	1369	793	1	0.007278613	1	NA	NA	NA
ASM2821	2	3	1070	766	1	0.017599771	0.709	NA	0.665	0.18
ASM2822	2	3	632	438	0.258969597	0.004960221	0.0211	NA	NA	NA
ASM2823	8	11	6456	4182	0.213596112	0.007829619	0.358	NA	0.0693	0.0376
ASM2824	3	5	16	0	NA	0.333333333	NA	NA	NA	NA
