ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#67	MJ_intronretentionright-Junction_76853_3.91E-2,MJ_intronretentionleft-Junction_76853_4.44E-2	2	0	0	0	0	0	0	0	0.0391
ASM#68	MJ_5_Junction_76856_Junction_76857_5.69E-2,MJ_5_Junction_76856_Junction_76857_4.91E-2	2	0	0	0	0	0	0	0	0.0491
ASM#69	MJ_3_Junction_77762_Junction_77780_3.05E-1,MJ_5_Junction_77783_Junction_77784_1.42E-1,MJ_5_Junction_77761_Junction_77762_Junction_77763_3.94E-1,MJ_5_Junction_77783_Junction_77784_6.05E-2,MJ_5_Junction_77836_Junction_77837_2.13E-1,MJ_3_Junction_77762_Junction_77780_1.25E-1,MJ_5_Junction_77761_Junction_77762_Junction_77763_4.42E-2,MJ_intronretentionright-Junction_77836_4.86E-2,MJ_5_Junction_77836_Junction_77837_9.83E-2,MJ_5_Junction_77761_Junction_77762_Junction_77763_1.17E-1,MJ_intronretentionleft-Junction_77836_8.23E-2	11	0	0	0	0	0	0	0	0.0442
ASM#70	NA	0	0	0	0	0	0	0	0	1
ASM#71	MJ_intronretentionleft-Junction_94054_2.30E-1,MJ_3_Junction_94043_Junction_94053_2.50E-2,MJ_3_Junction_94043_Junction_94053_2.82E-2,MJ_intronretentionright-Junction_94054_1.05E-1	4	0	0	0	0	0	0	0	0.025
ASM#72	MJ_5_Junction_94179_Junction_94180_1.02E-1	1	0	0	0	0	0	0	0	0.102
ASM#73	MJ_5_Junction_94363_Junction_94364_2.60E-2,MJ_3_Junction_94350_Junction_94351_Junction_94352_Junction_94353_8.72E-3,MJ_3_Junction_94358_Junction_94360_1.08E-2,MJ_5_Junction_94356_Junction_94357_Junction_94358_1.41E-2,MJ_3_Junction_94350_Junction_94351_Junction_94352_Junction_94353_1.04E-2,MJ_3_Junction_94358_Junction_94360_1.06E-2,MJ_3_Junction_94357_Junction_94359_3.37E-2,MJ_5_Junction_94356_Junction_94357_Junction_94358_2.87E-2,MJ_3_Junction_94357_Junction_94359_3.80E-2,MJ_3_Junction_94350_Junction_94351_Junction_94352_Junction_94353_9.75E-3,MJ_5_Junction_94363_Junction_94364_2.95E-2,MJ_5_Junction_94356_Junction_94357_Junction_94358_1.30E-2,MJ_3_Junction_94350_Junction_94351_Junction_94352_Junction_94353_1.10E-1	13	0	0	0	0	0	0	0	0.00872
ASM#74	MJ_5_Junction_94368_Junction_94369_9.24E-2,MJ_3_Junction_94369_Junction_94370_Junction_94371_1.71E-1,MJ_3_Junction_94369_Junction_94370_Junction_94371_1.20E-1,MJ_intronretentionright-Junction_94368_5.72E-2,MJ_3_Junction_94369_Junction_94370_Junction_94371_9.53E-2,MJ_intronretentionleft-Junction_94368_3.90E-2,MJ_5_Junction_94368_Junction_94369_1.11E-1	7	0	0	0	0	0	0	0	0.039
ASM#75	NA	0	0	0	0	0	0	0	0	1
ASM#76	NA	0	0	0	0	0	0	0	0	1
